number,weight,nonce,hash,fee_reward,total_transactions
591244,3992851,2006667673,23,7267,2024
591245,3993305,2031952938,23,5837,1246
591246,3993211,2710735444,24,5699,3131
591247,3993407,55517325,21,5075,2042
591248,3993311,406982527,20,6701,2786
591249,3992978,246502961,23,5508,3253
591250,3993408,1995361911,23,5804,2846
591251,3993378,2235069647,21,4152,2437
591252,3993188,2695880090,24,4395,2222
591253,3992768,1418576186,25,4597,2796
591254,3993061,3572109748,25,3995,2635
591255,3993370,900594551,24,5613,3245
591256,3993298,3888210102,21,4359,2726
591257,3993457,3162744096,22,5254,2783
591258,3993248,1429851110,22,3616,1468
591259,3993411,127706852,23,6434,2533
591260,3993379,1807018548,23,5082,2407
591261,3993296,652546493,24,6571,2364
591262,3993450,454935552,23,6187,3159
591263,3993348,1090967138,21,4551,3341
591264,3993546,3294756370,23,6860,2678
591265,3993145,1073798839,23,5439,3254
591266,3998677,3319141947,24,3777,2775
591267,3993432,3461187752,19,3628,1933
591268,3993343,2290379201,22,3197,3190
591269,3993389,1206008069,25,3263,2596
591270,3993358,4156052625,20,2555,2559
591271,3993133,2839340814,22,5475,3031
591272,3993138,2729067881,23,3210,2206
591273,3992983,131420458,21,2871,2434
591274,3993086,4037808964,21,5699,2705
591275,3993351,680807730,21,7939,2358
591276,3993157,3709733937,20,3761,3214
591277,3993047,2653950733,24,3194,2926
591278,3993077,1075325261,24,2081,2477
591279,3992775,1940354077,21,3036,2809
591280,3998674,96648602,23,2975,1966
591281,3993501,1031698427,24,3338,2732
591282,3993480,380369039,22,1296,1797
591283,3993454,753220558,23,2582,1488
591284,3993242,2514108258,24,1098,840
591285,3993007,875243796,21,3103,2022
591286,3993045,2530194588,22,4615,2009
591287,3992850,2673382051,24,5177,3542
591288,3993357,1776580833,23,1710,1733
591289,3993245,3044958056,20,3294,2380
591290,3993577,2158176832,24,1193,2167
591291,3993482,2895578638,22,1876,2137
591292,3993245,116934139,22,2117,2112
591293,3993560,3345731256,24,1256,2362
591294,3993405,1825685570,22,2502,1798
591295,3992978,2370349198,20,459,1385
591296,2679766,2697066606,23,1032,1801
591297,77031,4089730025,24,29,66
591298,3993364,2711772700,25,3234,2352
591299,3896970,3226610854,23,1465,1947
591300,968562,1294668543,22,615,604
591301,3992832,415399321,22,2906,2191
591302,3993197,2409004652,22,2256,2411
591303,3993220,518490781,21,3819,1504
591304,2901347,3929838350,23,751,1940
591305,2388042,2638110817,22,1471,1839
591306,807275,3410138596,22,505,690
591307,3993171,1746023330,22,3442,2119
591308,2472113,1532974317,22,863,2084
591309,3993490,1528332630,21,4554,3065
591310,3993189,2925857153,24,1852,1888
591311,3993040,1965581157,22,5640,2774
591312,3993010,3063602444,19,5216,3008
591313,3993510,1389837481,24,4645,3246
591314,3993065,1638128464,20,3841,1555
591315,3993537,2363630124,22,3476,1114
591316,3992976,3269639168,24,3232,992
591317,3992945,3923727048,23,3712,1502
591318,3993353,1613477288,21,2951,2080
591319,3992957,1314899060,24,4725,2872
591320,3993184,2316557991,23,4017,2415
591321,3993313,1502971745,23,1514,1158
591322,3993360,1045044669,21,2416,2482
591323,3993523,2993432372,26,3915,2992
591324,3993588,2466124230,22,2808,2696
591325,3993380,2030256477,21,359,1992
591326,3998721,3801764783,24,4498,2266
591327,3993281,2996918987,22,4338,2659
591328,3993548,485315733,22,808,2667
591329,2027224,719730341,19,1448,1561
591330,3993207,1990946899,23,3354,1769
591331,3993452,124738321,23,3517,2839
591332,2802290,3424387538,22,344,1944
591333,3993001,1743502632,22,5054,3152
591334,3993088,89154756,23,2260,1532
591335,2491851,735481562,23,451,1541
591336,3993135,2260017964,24,4912,2728
591337,3134963,2813111164,20,681,1964
591338,1950341,1592000929,21,1332,1563
591339,3626843,1691119922,23,2353,2737
591340,3998635,255273365,25,5443,2487
591341,2541707,4200358017,23,287,1893
591342,1614454,163282196,23,2075,1137
591343,1359890,1843205620,23,766,1062
591344,3993215,3854037111,23,4925,3075
591345,3998352,210578114,22,5259,2986
591346,3993175,3259555050,24,3220,2081
591347,3998581,2016206452,22,1868,2673
591348,3993339,2381187089,23,4176,2637
591349,3993199,2306135176,23,1556,2636
591350,3993427,586170143,24,4800,2514
591351,3993552,3721216438,23,4709,2444
591352,3993426,3784416808,21,2615,1735
591353,3993507,848291508,21,2418,1823
591354,3992779,4101444513,24,1122,755
591355,3992909,3388175848,23,3636,2486
591356,3993342,1253901975,23,1240,1157
591357,3993237,3500794029,21,6522,2641
591358,3993292,1165221240,21,4215,3071
591359,3993331,2536101258,19,4045,2160
591360,3993364,813090705,20,4646,2938
591361,3993140,226101869,20,1648,2760
591362,1184,2971575390,20,0,1
591363,3993202,2666097476,21,1214,2828
591364,3993074,3211663075,21,1619,2389
591365,3993552,1753034380,20,4061,2494
591366,3993486,674360384,24,1035,2550
591367,1037893,3938737314,24,583,824
591368,1780512,1237109976,22,1375,1224
591369,3750573,3380445150,22,2423,2873
591370,901362,2563101258,24,708,734
591371,2268040,2762714428,24,1398,1582
591372,2369674,2499441068,23,1773,1859
591373,3992791,1760293542,22,3731,2711
591374,3993183,2638493368,24,3915,2944
591375,3993224,3704865532,22,4321,2568
591376,3921201,4083169201,21,264,2774
591377,3992804,1332332384,22,4099,2862
591378,2598264,2269015039,22,569,1831
591379,3992989,1397509488,21,3806,3004
591380,2323565,2323684446,23,983,1757
591381,3993131,4179438179,23,8337,1423
591382,3993553,3440540252,21,4317,1886
591383,3993310,943255566,23,5688,2935
591384,3993092,4037218350,26,2403,1956
591385,3993127,3714813853,22,2601,774
591386,3993571,814212205,20,6656,2747
591387,3993457,3648060112,21,6048,3018
591388,3993395,2816269225,21,5147,1800
591389,3993547,158769672,23,5326,3139
591390,3993059,116132421,22,5434,2890
591391,3992569,2159327625,24,3091,2095
591392,3993245,3423149472,22,3892,2727
591393,3993397,1588408227,24,3059,2646
591394,3993177,1365383582,23,2601,2814
591395,3998516,2943154023,24,2801,2637
591396,3992997,1725040409,21,4840,2437
591397,3993332,359924399,21,3709,2883
591398,3993290,3539387802,20,6524,2979
591399,3993222,1982601829,21,2138,3065
591400,3993513,1156415620,23,5476,2782
